RBP,Cell & tissue typepredicted,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Genomic Context,Overexpression Info
RBM42,predicted,chr17:41831450-41831500;-,0.365,0.77,NaN,ENST00000301691,UTR3,undefined
ENOX1,predicted,chr17:41832450-41832500;-,0.307,0.599,NaN,ENST00000301691,UTR3,undefined
HNRNPH2,predicted,chr17:41832450-41832500;-,0.307,0.599,NaN,ENST00000301691,UTR3,undefined
HNRNPL,predicted,chr17:41832450-41832500;-,0.307,0.599,NaN,ENST00000301691,UTR3,undefined
YBX1,predicted,chr17:41831800-41831850;-,0.293,0.24,NaN,ENST00000301691,UTR3,undefined
YBX1,predicted,chr17:41831800-41831850;-,0.293,0.24,NaN,ENST00000301691,UTR3,undefined
YBX2,predicted,chr17:41831800-41831850;-,0.293,0.24,NaN,ENST00000301691,UTR3,undefined
SAMD4A,predicted,chr17:41833650-41833700;-,0.286,0.504,NaN,ENST00000301691,intron,undefined
MBNL1,predicted,chr17:41831850-41831900;-,0.266,0.412,NaN,ENST00000301691,UTR3,undefined
RBM24,predicted,chr17:41835300-41835350;-,0.236,0.341,NaN,ENST00000301691,intron,undefined
HNRNPK,predicted,chr17:41834450-41834500;-,0.188,0.188,NaN,ENST00000301691,intron,undefined
HNRNPL,predicted,chr17:41834450-41834500;-,0.188,0.188,NaN,ENST00000301691,intron,undefined
HNRPLL,predicted,chr17:41834450-41834500;-,0.188,0.188,NaN,ENST00000301691,intron,undefined
HNRNPH2,predicted,chr17:41835000-41835050;-,0.095,-0.093,NaN,ENST00000301691,intron,undefined
RBM5,predicted,chr17:41835000-41835050;-,0.095,-0.093,NaN,ENST00000301691,intron,undefined
RBM5,predicted,chr17:41835000-41835050;-,0.095,-0.093,NaN,ENST00000301691,intron,undefined
SRSF1,predicted,chr17:41835000-41835050;-,0.095,-0.093,NaN,ENST00000301691,intron,undefined
SRSF1,predicted,chr17:41835000-41835050;-,0.095,-0.093,NaN,ENST00000301691,intron,undefined
SRSF1,predicted,chr17:41835000-41835050;-,0.095,-0.093,NaN,ENST00000301691,intron,undefined
SRSF9,predicted,chr17:41835000-41835050;-,0.095,-0.093,NaN,ENST00000301691,intron,undefined
RBM6,predicted,chr17:41833150-41833200;-,0.069,-0.152,NaN,ENST00000301691,intron,undefined
SNRNP70,predicted,chr17:41831650-41831700;-,0.055,0.285,NaN,ENST00000301691,UTR3,undefined
HNRNPH2,predicted,chr17:41831750-41831800;-,0.051,0.075,NaN,ENST00000301691,UTR3,undefined
PCBP1,predicted,chr17:41835050-41835100;-,0.038,0.147,NaN,ENST00000301691,intron,undefined
HNRNPK,predicted,chr17:41831600-41831650;-,0.038,-0.05,NaN,ENST00000301691,UTR3,undefined
FXR1,predicted,chr17:41832050-41832100;-,0.021,-0.128,NaN,ENST00000301691,UTR3,undefined
SRSF10,predicted,chr17:41832050-41832100;-,0.021,-0.128,NaN,ENST00000301691,UTR3,undefined
SRSF10,predicted,chr17:41832050-41832100;-,0.021,-0.128,NaN,ENST00000301691,UTR3,undefined
SRSF10,predicted,chr17:41832050-41832100;-,0.021,-0.128,NaN,ENST00000301691,UTR3,undefined
SRSF10,predicted,chr17:41832050-41832100;-,0.021,-0.128,NaN,ENST00000301691,UTR3,undefined
SRSF2,predicted,chr17:41832050-41832100;-,0.021,-0.128,NaN,ENST00000301691,UTR3,undefined
LIN28A,predicted,chr17:41834000-41834050;-,0.015,0.085,NaN,ENST00000301691,intron,undefined
CPEB2,predicted,chr17:41833400-41833450;-,0.013,0.203,NaN,ENST00000301691,intron,undefined
MBNL1,predicted,chr17:41833400-41833450;-,0.013,0.203,NaN,ENST00000301691,intron,undefined
PPRC1,predicted,chr17:41835100-41835150;-,0.012,0.126,NaN,ENST00000301691,intron,undefined
IGF2BP3,predicted,chr17:41833500-41833550;-,0.011,-0.204,NaN,ENST00000301691,intron,undefined
KHDRBS1,predicted,chr17:41833500-41833550;-,0.011,-0.204,NaN,ENST00000301691,intron,undefined
RBM41,predicted,chr17:41833500-41833550;-,0.011,-0.204,NaN,ENST00000301691,intron,undefined
RBMS1,predicted,chr17:41833500-41833550;-,0.011,-0.204,NaN,ENST00000301691,intron,undefined
PABPN1,predicted,chr17:41835450-41835500;-,0.006,-0.29,NaN,ENST00000301691,intron,undefined
RBM45,predicted,chr17:41834250-41834300;-,0.005,0.118,NaN,ENST00000301691,intron,undefined
RBM4,predicted,chr17:41832650-41832700;-,0.005,-0.175,NaN,ENST00000301691,UTR3,undefined
RBM4,predicted,chr17:41832650-41832700;-,0.005,-0.175,NaN,ENST00000301691,UTR3,undefined
RBM8A,predicted,chr17:41832650-41832700;-,0.005,-0.175,NaN,ENST00000301691,UTR3,undefined
SNRPA,predicted,chr17:41832250-41832300;-,0.005,-0.166,NaN,ENST00000301691,UTR3,undefined
ANKHD1,predicted,chr17:41834400-41834450;-,0.004,-0.207,NaN,ENST00000301691,intron,undefined
ENOX1,predicted,chr17:41834400-41834450;-,0.004,-0.207,NaN,ENST00000301691,intron,undefined
SRSF9,predicted,chr17:41834400-41834450;-,0.004,-0.207,NaN,ENST00000301691,intron,undefined
ESRP2,predicted,chr17:41835500-41835550;-,0.003,-0.022,NaN,ENST00000301691,intron,undefined
HNRNPA2B1,predicted,chr17:41835500-41835550;-,0.003,-0.022,NaN,ENST00000301691,intron,undefined
RBM5,predicted,chr17:41835500-41835550;-,0.003,-0.022,NaN,ENST00000301691,intron,undefined
RBM5,predicted,chr17:41835500-41835550;-,0.003,-0.022,NaN,ENST00000301691,intron,undefined
ANKHD1,predicted,chr17:41835650-41835700;-,0.001,-0.331,NaN,ENST00000301691,intron,undefined
G3BP2,predicted,chr17:41834700-41834750;-,0.001,-0.339,NaN,ENST00000301691,intron,undefined
RBM24,predicted,chr17:41834350-41834400;-,0.001,-0.293,NaN,ENST00000301691,intron,undefined
RBM5,predicted,chr17:41834700-41834750;-,0.001,-0.339,NaN,ENST00000301691,intron,undefined
SRSF9,predicted,chr17:41834700-41834750;-,0.001,-0.339,NaN,ENST00000301691,intron,undefined
SRSF9,predicted,chr17:41834700-41834750;-,0.001,-0.339,NaN,ENST00000301691,intron,undefined
BRUNOL6,predicted,chr17:41835250-41835300;-,0,-0.379,NaN,ENST00000301691,intron,undefined
RBM24,predicted,chr17:41835250-41835300;-,0,-0.379,NaN,ENST00000301691,intron,undefined
SRSF1,predicted,chr17:41835700-41835750;-,0,-0.302,NaN,ENST00000301691,intron,undefined
