RBP,Cell & tissue typeHepG2K562adrenal gland,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
UPF1,K562,chr7:129832352-129832449;-,77.786,0.003,-0.09,ENST00000355621,ENCODE,No
SF3B1,K562,chr7:129951422-129951428;-,21.158,0,-0.283,ENST00000472396,ENCODE,No
SF3B1,K562,chr7:129951422-129951428;-,21.158,0,-0.283,ENST00000473814,ENCODE,No
SF3B1,K562,chr7:129951422-129951428;-,21.158,0,-0.283,ENST00000480245,ENCODE,No
SF3B1,K562,chr7:129951422-129951428;-,21.158,0,-0.283,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129904850-129904953;-,20.212,0.005,-0.071,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129904850-129904953;-,20.212,0.005,-0.071,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129904850-129904953;-,20.212,0.005,-0.071,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129904850-129904953;-,20.212,0.005,-0.071,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129904850-129904953;-,20.212,0.005,-0.071,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129904850-129904953;-,20.212,0.005,-0.071,ENST00000496698,ENCODE,No
HNRNPM,HepG2,chr7:129949656-129949693;-,18.791,0.148,0.457,ENST00000355621,ENCODE,No
HNRNPM,HepG2,chr7:129949656-129949693;-,18.791,0.148,0.457,ENST00000472396,ENCODE,No
HNRNPM,HepG2,chr7:129949656-129949693;-,18.791,0.148,0.457,ENST00000473814,ENCODE,No
HNRNPM,HepG2,chr7:129949656-129949693;-,18.791,0.148,0.457,ENST00000480245,ENCODE,No
HNRNPM,HepG2,chr7:129949656-129949693;-,18.791,0.148,0.457,ENST00000490974,ENCODE,No
HNRNPM,HepG2,chr7:129949656-129949693;-,18.791,0.148,0.457,ENST00000496698,ENCODE,No
FAM120A,K562,chr7:129832348-129832489;-,18.699,0.004,-0.233,ENST00000355621,ENCODE,No
SF3B1,K562,chr7:129951428-129951453;-,18.591,0.027,0.384,ENST00000355621,ENCODE,No
SF3B1,K562,chr7:129951428-129951453;-,18.591,0.027,0.384,ENST00000472396,ENCODE,No
SF3B1,K562,chr7:129951428-129951453;-,18.591,0.027,0.384,ENST00000473814,ENCODE,No
SF3B1,K562,chr7:129951428-129951453;-,18.591,0.027,0.384,ENST00000480245,ENCODE,No
SF3B1,K562,chr7:129951428-129951453;-,18.591,0.027,0.384,ENST00000490974,ENCODE,No
TIA1,K562,chr7:129830833-129830894;-,18.555,0.819,1.986,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905143-129905199;-,18.39,0.018,0.133,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905143-129905199;-,18.39,0.018,0.133,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129905143-129905199;-,18.39,0.018,0.133,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129905143-129905199;-,18.39,0.018,0.133,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129905143-129905199;-,18.39,0.018,0.133,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129905143-129905199;-,18.39,0.018,0.133,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129904835-129904914;-,18.058,0.006,-0.164,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129904835-129904914;-,18.058,0.006,-0.164,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129904835-129904914;-,18.058,0.006,-0.164,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129904835-129904914;-,18.058,0.006,-0.164,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129904835-129904914;-,18.058,0.006,-0.164,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129904835-129904914;-,18.058,0.006,-0.164,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129905497-129905617;-,17.501,0.019,0.134,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905497-129905617;-,17.501,0.019,0.134,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129905497-129905617;-,17.501,0.019,0.134,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129905497-129905617;-,17.501,0.019,0.134,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129905497-129905617;-,17.501,0.019,0.134,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129905497-129905617;-,17.501,0.019,0.134,ENST00000496698,ENCODE,No
PTBP1,HepG2,chr7:129850822-129850903;-,17.176,0.002,-0.315,ENST00000355621,ENCODE,No
PTBP1,HepG2,chr7:129850822-129850903;-,17.176,0.002,-0.315,ENST00000472396,ENCODE,No
PTBP1,HepG2,chr7:129850822-129850903;-,17.176,0.002,-0.315,ENST00000473814,ENCODE,No
PTBP1,HepG2,chr7:129850822-129850903;-,17.176,0.002,-0.315,ENST00000480245,ENCODE,No
PTBP1,HepG2,chr7:129850822-129850903;-,17.176,0.002,-0.315,ENST00000496698,ENCODE,No
MATR3,HepG2,chr7:129905145-129905240;-,16.713,0.011,0.079,ENST00000355621,ENCODE,No
MATR3,HepG2,chr7:129905145-129905240;-,16.713,0.011,0.079,ENST00000472396,ENCODE,No
MATR3,HepG2,chr7:129905145-129905240;-,16.713,0.011,0.079,ENST00000473814,ENCODE,No
MATR3,HepG2,chr7:129905145-129905240;-,16.713,0.011,0.079,ENST00000480245,ENCODE,No
MATR3,HepG2,chr7:129905145-129905240;-,16.713,0.011,0.079,ENST00000490974,ENCODE,No
MATR3,HepG2,chr7:129905145-129905240;-,16.713,0.011,0.079,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129905814-129905869;-,16.701,0.001,-0.317,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905814-129905869;-,16.701,0.001,-0.317,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129905814-129905869;-,16.701,0.001,-0.317,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129905814-129905869;-,16.701,0.001,-0.317,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129905814-129905869;-,16.701,0.001,-0.317,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129905814-129905869;-,16.701,0.001,-0.317,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129905800-129905860;-,16.509,0.002,-0.216,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905800-129905860;-,16.509,0.002,-0.216,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129905800-129905860;-,16.509,0.002,-0.216,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129905800-129905860;-,16.509,0.002,-0.216,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129905800-129905860;-,16.509,0.002,-0.216,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129905800-129905860;-,16.509,0.002,-0.216,ENST00000496698,ENCODE,No
UTP3,K562,chr7:129859915-129859919;-,16.342,0.001,0.146,ENST00000355621,ENCODE,No
UTP3,K562,chr7:129859915-129859919;-,16.342,0.001,0.146,ENST00000472396,ENCODE,No
UTP3,K562,chr7:129859915-129859919;-,16.342,0.001,0.146,ENST00000473814,ENCODE,No
UTP3,K562,chr7:129859915-129859919;-,16.342,0.001,0.146,ENST00000480245,ENCODE,No
UTP3,K562,chr7:129859915-129859919;-,16.342,0.001,0.146,ENST00000486283,ENCODE,No
UTP3,K562,chr7:129859915-129859919;-,16.342,0.001,0.146,ENST00000490974,ENCODE,No
UTP3,K562,chr7:129859915-129859919;-,16.342,0.001,0.146,ENST00000496698,ENCODE,No
UTP3,K562,chr7:129859919-129859936;-,16.342,0.001,0.11,ENST00000355621,ENCODE,No
UTP3,K562,chr7:129859919-129859936;-,16.342,0.001,0.11,ENST00000472396,ENCODE,No
UTP3,K562,chr7:129859919-129859936;-,16.342,0.001,0.11,ENST00000473814,ENCODE,No
UTP3,K562,chr7:129859919-129859936;-,16.342,0.001,0.11,ENST00000480245,ENCODE,No
UTP3,K562,chr7:129859919-129859936;-,16.342,0.001,0.11,ENST00000486283,ENCODE,No
UTP3,K562,chr7:129859919-129859936;-,16.342,0.001,0.11,ENST00000490974,ENCODE,No
UTP3,K562,chr7:129859919-129859936;-,16.342,0.001,0.11,ENST00000496698,ENCODE,No
PUM2,K562,chr7:129830737-129830821;-,15.558,0.999,3.873,ENST00000355621,ENCODE,No
EIF4G2,K562,chr7:129944651-129944764;-,15.483,0.014,-0.183,ENST00000355621,ENCODE,No
EIF4G2,K562,chr7:129944651-129944764;-,15.483,0.014,-0.183,ENST00000472396,ENCODE,No
EIF4G2,K562,chr7:129944651-129944764;-,15.483,0.014,-0.183,ENST00000473814,ENCODE,No
EIF4G2,K562,chr7:129944651-129944764;-,15.483,0.014,-0.183,ENST00000480245,ENCODE,No
EIF4G2,K562,chr7:129944651-129944764;-,15.483,0.014,-0.183,ENST00000490974,ENCODE,No
EIF4G2,K562,chr7:129944651-129944764;-,15.483,0.014,-0.183,ENST00000496698,ENCODE,No
UPF1,K562,chr7:129832248-129832300;-,14.762,0.003,0.113,ENST00000355621,ENCODE,No
PTBP1,K562,chr7:129850834-129850904;-,14.521,0.002,-0.387,ENST00000355621,ENCODE,No
PTBP1,K562,chr7:129850834-129850904;-,14.521,0.002,-0.387,ENST00000472396,ENCODE,No
PTBP1,K562,chr7:129850834-129850904;-,14.521,0.002,-0.387,ENST00000473814,ENCODE,No
PTBP1,K562,chr7:129850834-129850904;-,14.521,0.002,-0.387,ENST00000480245,ENCODE,No
PTBP1,K562,chr7:129850834-129850904;-,14.521,0.002,-0.387,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129905539-129905607;-,14.353,0.026,-0.033,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905539-129905607;-,14.353,0.026,-0.033,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129905539-129905607;-,14.353,0.026,-0.033,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129905539-129905607;-,14.353,0.026,-0.033,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129905539-129905607;-,14.353,0.026,-0.033,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129905539-129905607;-,14.353,0.026,-0.033,ENST00000496698,ENCODE,No
MATR3,HepG2,chr7:129874728-129874869;-,13.757,0.088,0.021,ENST00000355621,ENCODE,No
MATR3,HepG2,chr7:129874728-129874869;-,13.757,0.088,0.021,ENST00000472396,ENCODE,No
MATR3,HepG2,chr7:129874728-129874869;-,13.757,0.088,0.021,ENST00000473814,ENCODE,No
MATR3,HepG2,chr7:129874728-129874869;-,13.757,0.088,0.021,ENST00000480245,ENCODE,No
MATR3,HepG2,chr7:129874728-129874869;-,13.757,0.088,0.021,ENST00000486283,ENCODE,No
MATR3,HepG2,chr7:129874728-129874869;-,13.757,0.088,0.021,ENST00000490974,ENCODE,No
MATR3,HepG2,chr7:129874728-129874869;-,13.757,0.088,0.021,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129905084-129905142;-,13.73,0.016,0.024,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905084-129905142;-,13.73,0.016,0.024,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129905084-129905142;-,13.73,0.016,0.024,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129905084-129905142;-,13.73,0.016,0.024,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129905084-129905142;-,13.73,0.016,0.024,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129905084-129905142;-,13.73,0.016,0.024,ENST00000496698,ENCODE,No
DDX6,K562,chr7:129833930-129834025;-,13.102,0.202,0.645,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129904450-129904501;-,12.596,0.003,0.096,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129904450-129904501;-,12.596,0.003,0.096,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129904450-129904501;-,12.596,0.003,0.096,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129904450-129904501;-,12.596,0.003,0.096,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129904450-129904501;-,12.596,0.003,0.096,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129904450-129904501;-,12.596,0.003,0.096,ENST00000496698,ENCODE,No
UTP3,K562,chr7:129941526-129941531;-,12.526,0,0.119,ENST00000355621,ENCODE,No
UTP3,K562,chr7:129941526-129941531;-,12.526,0,0.119,ENST00000472396,ENCODE,No
UTP3,K562,chr7:129941526-129941531;-,12.526,0,0.119,ENST00000473814,ENCODE,No
UTP3,K562,chr7:129941526-129941531;-,12.526,0,0.119,ENST00000480245,ENCODE,No
UTP3,K562,chr7:129941526-129941531;-,12.526,0,0.119,ENST00000490974,ENCODE,No
UTP3,K562,chr7:129941526-129941531;-,12.526,0,0.119,ENST00000496698,ENCODE,No
UPF1,K562,chr7:129832256-129832296;-,12.524,0.002,0.133,ENST00000355621,ENCODE,No
UPF1,K562,chr7:129833796-129833848;-,12.461,0.596,0.975,ENST00000355621,ENCODE,No
MATR3,HepG2,chr7:129837381-129837483;-,12.208,0.003,-0.141,ENST00000355621,ENCODE,No
MATR3,HepG2,chr7:129837381-129837483;-,12.208,0.003,-0.141,ENST00000473814,ENCODE,No
MATR3,HepG2,chr7:129837381-129837483;-,12.208,0.003,-0.141,ENST00000483368,ENCODE,No
MATR3,HepG2,chr7:129837381-129837483;-,12.208,0.003,-0.141,ENST00000496698,ENCODE,No
NCBP2,HepG2,chr7:129952774-129952940;-,12.097,0.505,0.872,ENST00000472396,ENCODE,No
NCBP2,HepG2,chr7:129952774-129952940;-,12.097,0.505,0.872,ENST00000355621,ENCODE,No
RBFOX2,HepG2,chr7:129915712-129915818;-,12.096,0.261,0.202,ENST00000355621,ENCODE,No
RBFOX2,HepG2,chr7:129915712-129915818;-,12.096,0.261,0.202,ENST00000472396,ENCODE,No
RBFOX2,HepG2,chr7:129915712-129915818;-,12.096,0.261,0.202,ENST00000473814,ENCODE,No
RBFOX2,HepG2,chr7:129915712-129915818;-,12.096,0.261,0.202,ENST00000480245,ENCODE,No
RBFOX2,HepG2,chr7:129915712-129915818;-,12.096,0.261,0.202,ENST00000490974,ENCODE,No
RBFOX2,HepG2,chr7:129915712-129915818;-,12.096,0.261,0.202,ENST00000496698,ENCODE,No
SRSF7,HepG2,chr7:129832390-129832508;-,12.092,0.006,-0.216,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905919-129905965;-,11.925,0.001,-0.36,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905919-129905965;-,11.925,0.001,-0.36,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129905919-129905965;-,11.925,0.001,-0.36,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129905919-129905965;-,11.925,0.001,-0.36,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129905919-129905965;-,11.925,0.001,-0.36,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129905919-129905965;-,11.925,0.001,-0.36,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129905266-129905322;-,11.891,0.051,0.024,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905266-129905322;-,11.891,0.051,0.024,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129905266-129905322;-,11.891,0.051,0.024,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129905266-129905322;-,11.891,0.051,0.024,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129905266-129905322;-,11.891,0.051,0.024,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129905266-129905322;-,11.891,0.051,0.024,ENST00000496698,ENCODE,No
HNRNPM,HepG2,chr7:129949648-129949695;-,11.887,0.147,0.428,ENST00000355621,ENCODE,No
HNRNPM,HepG2,chr7:129949648-129949695;-,11.887,0.147,0.428,ENST00000472396,ENCODE,No
HNRNPM,HepG2,chr7:129949648-129949695;-,11.887,0.147,0.428,ENST00000473814,ENCODE,No
HNRNPM,HepG2,chr7:129949648-129949695;-,11.887,0.147,0.428,ENST00000480245,ENCODE,No
HNRNPM,HepG2,chr7:129949648-129949695;-,11.887,0.147,0.428,ENST00000490974,ENCODE,No
HNRNPM,HepG2,chr7:129949648-129949695;-,11.887,0.147,0.428,ENST00000496698,ENCODE,No
UPF1,K562,chr7:129832823-129832860;-,11.801,1,3.251,ENST00000355621,ENCODE,No
KHSRP,K562,chr7:129895372-129895493;-,11.497,0.136,0.287,ENST00000355621,ENCODE,No
KHSRP,K562,chr7:129895372-129895493;-,11.497,0.136,0.287,ENST00000472396,ENCODE,No
KHSRP,K562,chr7:129895372-129895493;-,11.497,0.136,0.287,ENST00000473814,ENCODE,No
KHSRP,K562,chr7:129895372-129895493;-,11.497,0.136,0.287,ENST00000480245,ENCODE,No
KHSRP,K562,chr7:129895372-129895493;-,11.497,0.136,0.287,ENST00000490974,ENCODE,No
KHSRP,K562,chr7:129895372-129895493;-,11.497,0.136,0.287,ENST00000496698,ENCODE,No
IGF2BP1,K562,chr7:129832386-129832516;-,11.433,0.005,-0.189,ENST00000355621,ENCODE,No
UTP3,K562,chr7:129835336-129835383;-,11.432,0.006,-0.537,ENST00000355621,ENCODE,No
UTP3,K562,chr7:129835336-129835383;-,11.432,0.006,-0.537,ENST00000473814,ENCODE,No
UTP3,K562,chr7:129835336-129835383;-,11.432,0.006,-0.537,ENST00000483368,ENCODE,No
UTP3,K562,chr7:129835336-129835383;-,11.432,0.006,-0.537,ENST00000496698,ENCODE,No
UTP3,K562,chr7:129941531-129941552;-,11.432,0,-0.071,ENST00000355621,ENCODE,No
UTP3,K562,chr7:129941531-129941552;-,11.432,0,-0.071,ENST00000472396,ENCODE,No
UTP3,K562,chr7:129941531-129941552;-,11.432,0,-0.071,ENST00000473814,ENCODE,No
UTP3,K562,chr7:129941531-129941552;-,11.432,0,-0.071,ENST00000480245,ENCODE,No
UTP3,K562,chr7:129941531-129941552;-,11.432,0,-0.071,ENST00000490974,ENCODE,No
UTP3,K562,chr7:129941531-129941552;-,11.432,0,-0.071,ENST00000496698,ENCODE,No
HNRNPL,HepG2,chr7:129934934-129934970;-,11.41,0.002,-0.458,ENST00000355621,ENCODE,No
HNRNPL,HepG2,chr7:129934934-129934970;-,11.41,0.002,-0.458,ENST00000472396,ENCODE,No
HNRNPL,HepG2,chr7:129934934-129934970;-,11.41,0.002,-0.458,ENST00000473814,ENCODE,No
HNRNPL,HepG2,chr7:129934934-129934970;-,11.41,0.002,-0.458,ENST00000480245,ENCODE,No
HNRNPL,HepG2,chr7:129934934-129934970;-,11.41,0.002,-0.458,ENST00000490974,ENCODE,No
HNRNPL,HepG2,chr7:129934934-129934970;-,11.41,0.002,-0.458,ENST00000496698,ENCODE,No
DDX3X,HepG2,chr7:129952596-129952721;-,11.255,0.672,1.103,ENST00000490974,ENCODE,No
DDX3X,HepG2,chr7:129952596-129952721;-,11.255,0.672,1.103,ENST00000472396,ENCODE,No
DDX3X,HepG2,chr7:129952596-129952721;-,11.255,0.672,1.103,ENST00000355621,ENCODE,No
IGF2BP2,K562,chr7:129832905-129832963;-,11.254,0.98,1.9,ENST00000355621,ENCODE,No
WDR3,K562,chr7:129952632-129952706;-,11.25,0.681,0.978,ENST00000490974,ENCODE,No
WDR3,K562,chr7:129952632-129952706;-,11.25,0.681,0.978,ENST00000472396,ENCODE,No
WDR3,K562,chr7:129952632-129952706;-,11.25,0.681,0.978,ENST00000355621,ENCODE,No
FAM120A,K562,chr7:129833916-129834013;-,11.186,0.259,0.726,ENST00000355621,ENCODE,No
UPF1,K562,chr7:129834458-129834509;-,10.899,0.075,0.038,ENST00000355621,ENCODE,No
NCBP2,HepG2,chr7:129952795-129952937;-,10.895,0.554,0.912,ENST00000472396,ENCODE,No
NCBP2,HepG2,chr7:129952795-129952937;-,10.895,0.554,0.912,ENST00000355621,ENCODE,No
UPF1,K562,chr7:129831869-129831921;-,10.744,0.145,0.449,ENST00000355621,ENCODE,No
RPS3,K562,chr7:129952566-129952680;-,10.491,0.564,0.873,ENST00000490974,ENCODE,No
RPS3,K562,chr7:129952566-129952680;-,10.491,0.564,0.873,ENST00000472396,ENCODE,No
RPS3,K562,chr7:129952566-129952680;-,10.491,0.564,0.873,ENST00000355621,ENCODE,No
HNRNPM,HepG2,chr7:129949602-129949644;-,10.449,0.852,1.619,ENST00000355621,ENCODE,No
HNRNPM,HepG2,chr7:129949602-129949644;-,10.449,0.852,1.619,ENST00000472396,ENCODE,No
HNRNPM,HepG2,chr7:129949602-129949644;-,10.449,0.852,1.619,ENST00000473814,ENCODE,No
HNRNPM,HepG2,chr7:129949602-129949644;-,10.449,0.852,1.619,ENST00000480245,ENCODE,No
HNRNPM,HepG2,chr7:129949602-129949644;-,10.449,0.852,1.619,ENST00000490974,ENCODE,No
HNRNPM,HepG2,chr7:129949602-129949644;-,10.449,0.852,1.619,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129904987-129905041;-,10.225,0.117,0.093,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129904987-129905041;-,10.225,0.117,0.093,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129904987-129905041;-,10.225,0.117,0.093,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129904987-129905041;-,10.225,0.117,0.093,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129904987-129905041;-,10.225,0.117,0.093,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129904987-129905041;-,10.225,0.117,0.093,ENST00000496698,ENCODE,No
IGF2BP1,K562,chr7:129833891-129833993;-,10.068,0.137,0.575,ENST00000355621,ENCODE,No
FTO,K562,chr7:129952789-129952916;-,10.066,0.515,0.842,ENST00000472396,ENCODE,No
FTO,K562,chr7:129952789-129952916;-,10.066,0.515,0.842,ENST00000355621,ENCODE,No
UPF1,K562,chr7:129833522-129833575;-,9.979,0.334,0.775,ENST00000355621,ENCODE,No
IGF2BP1,K562,chr7:129831531-129831670;-,9.966,0.327,0.687,ENST00000355621,ENCODE,No
HNRNPL,K562,chr7:129934835-129934931;-,9.909,0.01,-0.14,ENST00000355621,ENCODE,No
HNRNPL,K562,chr7:129934835-129934931;-,9.909,0.01,-0.14,ENST00000472396,ENCODE,No
HNRNPL,K562,chr7:129934835-129934931;-,9.909,0.01,-0.14,ENST00000473814,ENCODE,No
