RBP,Cell & tissue typeHepG2K562adrenal gland,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
PUM2,K562,chr5:134390526-134390638;+,400,1,5.151,ENST00000265339,ENCODE,No
KHSRP,K562,chr5:134385074-134385122;+,11.376,0.208,0.219,ENST00000511807,ENCODE,No
RBFOX2,K562,chr5:134390520-134390633;+,10.925,1,5.147,ENST00000265339,ENCODE,No
FUBP3,HepG2,chr5:134390519-134390577;+,10.723,1,5.807,ENST00000265339,ENCODE,No
PABPC4,K562,chr5:134390686-134390760;+,10.56,1,4.319,ENST00000265339,ENCODE,No
SUB1,HepG2,chr5:134390525-134390566;+,9.347,1,6.167,ENST00000507277,ENCODE,No
SUB1,HepG2,chr5:134390525-134390566;+,9.347,1,6.167,ENST00000265339,ENCODE,No
PABPC4,K562,chr5:134390483-134390535;+,9.038,0.998,4.32,ENST00000507277,ENCODE,No
PABPC4,K562,chr5:134390483-134390535;+,9.038,0.998,4.32,ENST00000265339,ENCODE,No
PUM2,K562,chr5:134390399-134390431;+,8.895,1,3.457,ENST00000507277,ENCODE,No
PUM2,K562,chr5:134390399-134390431;+,8.895,1,3.457,ENST00000265339,ENCODE,No
SUB1,HepG2,chr5:134390566-134390584;+,8.842,1,5.332,ENST00000265339,ENCODE,No
UTP3,K562,chr5:134371598-134371628;+,8.752,0.985,4.385,ENST00000265339,ENCODE,No
UTP3,K562,chr5:134371598-134371628;+,8.752,0.985,4.385,ENST00000510021,ENCODE,No
UTP3,K562,chr5:134371598-134371628;+,8.752,0.985,4.385,ENST00000506787,ENCODE,No
UTP3,K562,chr5:134372121-134372162;+,8.551,0.381,0.741,ENST00000265339,ENCODE,No
UTP3,K562,chr5:134372121-134372162;+,8.551,0.381,0.741,ENST00000504431,ENCODE,No
UTP3,K562,chr5:134372121-134372162;+,8.551,0.381,0.741,ENST00000506787,ENCODE,No
UTP3,K562,chr5:134372121-134372162;+,8.551,0.381,0.741,ENST00000507277,ENCODE,No
UTP3,K562,chr5:134372121-134372162;+,8.551,0.381,0.741,ENST00000510021,ENCODE,No
UTP3,K562,chr5:134372121-134372162;+,8.551,0.381,0.741,ENST00000511807,ENCODE,No
DDX6,K562,chr5:134390673-134390745;+,8.401,1,4.301,ENST00000265339,ENCODE,No
DDX6,K562,chr5:134374382-134374431;+,7.888,0.954,5.703,ENST00000265339,ENCODE,No
DDX6,K562,chr5:134374382-134374431;+,7.888,0.954,5.703,ENST00000506787,ENCODE,No
DDX6,K562,chr5:134374382-134374431;+,7.888,0.954,5.703,ENST00000507277,ENCODE,No
DDX6,K562,chr5:134374382-134374431;+,7.888,0.954,5.703,ENST00000510021,ENCODE,No
IGF2BP2,K562,chr5:134380718-134380735;+,7.813,1,5.548,ENST00000265339,ENCODE,No
IGF2BP2,K562,chr5:134380718-134380735;+,7.813,1,5.548,ENST00000506787,ENCODE,No
IGF2BP2,K562,chr5:134380718-134380735;+,7.813,1,5.548,ENST00000507277,ENCODE,No
NOLC1,K562,chr5:134390576-134390646;+,7.675,1,4.54,ENST00000265339,ENCODE,No
DDX3X,HepG2,chr5:134371462-134371507;+,7.077,0.444,1.008,ENST00000265339,ENCODE,No
RBFOX2,HepG2,chr5:134390516-134390638;+,7.013,1,5.064,ENST00000265339,ENCODE,No
AQR,K562,chr5:134389238-134389332;+,6.791,0.159,0.122,ENST00000265339,ENCODE,No
AQR,K562,chr5:134389238-134389332;+,6.791,0.159,0.122,ENST00000499038,ENCODE,No
AQR,K562,chr5:134389238-134389332;+,6.791,0.159,0.122,ENST00000503080,ENCODE,No
AQR,K562,chr5:134389238-134389332;+,6.791,0.159,0.122,ENST00000506787,ENCODE,No
AQR,K562,chr5:134389238-134389332;+,6.791,0.159,0.122,ENST00000507277,ENCODE,No
AQR,K562,chr5:134389238-134389332;+,6.791,0.159,0.122,ENST00000510021,ENCODE,No
AQR,K562,chr5:134389238-134389332;+,6.791,0.159,0.122,ENST00000511807,ENCODE,No
U2AF2,HepG2,chr5:134375315-134375397;+,6.514,0.003,0.068,ENST00000265339,ENCODE,No
U2AF2,HepG2,chr5:134375315-134375397;+,6.514,0.003,0.068,ENST00000506787,ENCODE,No
U2AF2,HepG2,chr5:134375315-134375397;+,6.514,0.003,0.068,ENST00000507277,ENCODE,No
U2AF2,HepG2,chr5:134375315-134375397;+,6.514,0.003,0.068,ENST00000510021,ENCODE,No
U2AF2,HepG2,chr5:134375315-134375397;+,6.514,0.003,0.068,ENST00000511807,ENCODE,No
U2AF1,K562,chr5:134388536-134388590;+,6.476,0.007,-0.011,ENST00000265339,ENCODE,No
U2AF1,K562,chr5:134388536-134388590;+,6.476,0.007,-0.011,ENST00000499038,ENCODE,No
U2AF1,K562,chr5:134388536-134388590;+,6.476,0.007,-0.011,ENST00000503080,ENCODE,No
U2AF1,K562,chr5:134388536-134388590;+,6.476,0.007,-0.011,ENST00000506787,ENCODE,No
U2AF1,K562,chr5:134388536-134388590;+,6.476,0.007,-0.011,ENST00000507277,ENCODE,No
U2AF1,K562,chr5:134388536-134388590;+,6.476,0.007,-0.011,ENST00000510021,ENCODE,No
U2AF1,K562,chr5:134388536-134388590;+,6.476,0.007,-0.011,ENST00000511807,ENCODE,No
NOLC1,K562,chr5:134390517-134390576;+,6.361,1,5.695,ENST00000265339,ENCODE,No
HNRNPC,K562,chr5:134371550-134371584;+,6.109,0.999,1.973,ENST00000265339,ENCODE,No
HNRNPC,K562,chr5:134371550-134371584;+,6.109,0.999,1.973,ENST00000510021,ENCODE,No
FUBP3,HepG2,chr5:134390390-134390459;+,6.078,1,3.585,ENST00000507277,ENCODE,No
FUBP3,HepG2,chr5:134390390-134390459;+,6.078,1,3.585,ENST00000265339,ENCODE,No
DDX3X,HepG2,chr5:134371522-134371555;+,6.055,0.99,2.308,ENST00000265339,ENCODE,No
DDX3X,HepG2,chr5:134371522-134371555;+,6.055,0.99,2.308,ENST00000510021,ENCODE,No
NOLC1,K562,chr5:134390536-134390592;+,6.054,1,5.562,ENST00000265339,ENCODE,No
DDX55,HepG2,chr5:134390586-134390648;+,6.049,1,4.46,ENST00000265339,ENCODE,No
SUPV3L1,K562,chr5:134385357-134385398;+,6.047,0.06,0.328,ENST00000265339,ENCODE,No
SUPV3L1,K562,chr5:134385357-134385398;+,6.047,0.06,0.328,ENST00000506787,ENCODE,No
SUPV3L1,K562,chr5:134385357-134385398;+,6.047,0.06,0.328,ENST00000507277,ENCODE,No
SUPV3L1,K562,chr5:134385357-134385398;+,6.047,0.06,0.328,ENST00000510021,ENCODE,No
SUPV3L1,K562,chr5:134385357-134385398;+,6.047,0.06,0.328,ENST00000511807,ENCODE,No
GEMIN5,K562,chr5:134371467-134371505;+,6.038,0.348,0.591,ENST00000265339,ENCODE,No
RBM22,K562,chr5:134388435-134388492;+,6.013,0.031,-0.121,ENST00000265339,ENCODE,No
RBM22,K562,chr5:134388435-134388492;+,6.013,0.031,-0.121,ENST00000499038,ENCODE,No
RBM22,K562,chr5:134388435-134388492;+,6.013,0.031,-0.121,ENST00000503080,ENCODE,No
RBM22,K562,chr5:134388435-134388492;+,6.013,0.031,-0.121,ENST00000506787,ENCODE,No
RBM22,K562,chr5:134388435-134388492;+,6.013,0.031,-0.121,ENST00000507277,ENCODE,No
RBM22,K562,chr5:134388435-134388492;+,6.013,0.031,-0.121,ENST00000510021,ENCODE,No
RBM22,K562,chr5:134388435-134388492;+,6.013,0.031,-0.121,ENST00000511807,ENCODE,No
TIA1,K562,chr5:134390699-134390743;+,5.989,1,4.47,ENST00000265339,ENCODE,No
KHSRP,K562,chr5:134388845-134388880;+,5.707,0.039,0.199,ENST00000265339,ENCODE,No
KHSRP,K562,chr5:134388845-134388880;+,5.707,0.039,0.199,ENST00000499038,ENCODE,No
KHSRP,K562,chr5:134388845-134388880;+,5.707,0.039,0.199,ENST00000503080,ENCODE,No
KHSRP,K562,chr5:134388845-134388880;+,5.707,0.039,0.199,ENST00000506787,ENCODE,No
KHSRP,K562,chr5:134388845-134388880;+,5.707,0.039,0.199,ENST00000507277,ENCODE,No
KHSRP,K562,chr5:134388845-134388880;+,5.707,0.039,0.199,ENST00000510021,ENCODE,No
KHSRP,K562,chr5:134388845-134388880;+,5.707,0.039,0.199,ENST00000511807,ENCODE,No
PABPC4,K562,chr5:134390620-134390660;+,5.587,1,4.451,ENST00000265339,ENCODE,No
ILF3,HepG2,chr5:134378457-134378531;+,5.565,0.045,0.074,ENST00000265339,ENCODE,No
ILF3,HepG2,chr5:134378457-134378531;+,5.565,0.045,0.074,ENST00000506787,ENCODE,No
ILF3,HepG2,chr5:134378457-134378531;+,5.565,0.045,0.074,ENST00000507277,ENCODE,No
ILF3,HepG2,chr5:134378457-134378531;+,5.565,0.045,0.074,ENST00000510021,ENCODE,No
ILF3,HepG2,chr5:134378457-134378531;+,5.565,0.045,0.074,ENST00000511807,ENCODE,No
U2AF2,HepG2,chr5:134388541-134388596;+,5.534,0.004,-0.098,ENST00000265339,ENCODE,No
U2AF2,HepG2,chr5:134388541-134388596;+,5.534,0.004,-0.098,ENST00000499038,ENCODE,No
U2AF2,HepG2,chr5:134388541-134388596;+,5.534,0.004,-0.098,ENST00000503080,ENCODE,No
U2AF2,HepG2,chr5:134388541-134388596;+,5.534,0.004,-0.098,ENST00000506787,ENCODE,No
U2AF2,HepG2,chr5:134388541-134388596;+,5.534,0.004,-0.098,ENST00000507277,ENCODE,No
U2AF2,HepG2,chr5:134388541-134388596;+,5.534,0.004,-0.098,ENST00000510021,ENCODE,No
U2AF2,HepG2,chr5:134388541-134388596;+,5.534,0.004,-0.098,ENST00000511807,ENCODE,No
ILF3,K562,chr5:134378441-134378524;+,5.521,0.042,0.022,ENST00000265339,ENCODE,No
ILF3,K562,chr5:134378441-134378524;+,5.521,0.042,0.022,ENST00000506787,ENCODE,No
ILF3,K562,chr5:134378441-134378524;+,5.521,0.042,0.022,ENST00000507277,ENCODE,No
ILF3,K562,chr5:134378441-134378524;+,5.521,0.042,0.022,ENST00000510021,ENCODE,No
ILF3,K562,chr5:134378441-134378524;+,5.521,0.042,0.022,ENST00000511807,ENCODE,No
U2AF2,HepG2,chr5:134388539-134388595;+,5.507,0.005,-0.075,ENST00000265339,ENCODE,No
U2AF2,HepG2,chr5:134388539-134388595;+,5.507,0.005,-0.075,ENST00000499038,ENCODE,No
U2AF2,HepG2,chr5:134388539-134388595;+,5.507,0.005,-0.075,ENST00000503080,ENCODE,No
U2AF2,HepG2,chr5:134388539-134388595;+,5.507,0.005,-0.075,ENST00000506787,ENCODE,No
U2AF2,HepG2,chr5:134388539-134388595;+,5.507,0.005,-0.075,ENST00000507277,ENCODE,No
U2AF2,HepG2,chr5:134388539-134388595;+,5.507,0.005,-0.075,ENST00000510021,ENCODE,No
U2AF2,HepG2,chr5:134388539-134388595;+,5.507,0.005,-0.075,ENST00000511807,ENCODE,No
EFTUD2,K562,chr5:134388441-134388498;+,5.474,0.033,-0.125,ENST00000265339,ENCODE,No
EFTUD2,K562,chr5:134388441-134388498;+,5.474,0.033,-0.125,ENST00000499038,ENCODE,No
EFTUD2,K562,chr5:134388441-134388498;+,5.474,0.033,-0.125,ENST00000503080,ENCODE,No
EFTUD2,K562,chr5:134388441-134388498;+,5.474,0.033,-0.125,ENST00000506787,ENCODE,No
EFTUD2,K562,chr5:134388441-134388498;+,5.474,0.033,-0.125,ENST00000507277,ENCODE,No
EFTUD2,K562,chr5:134388441-134388498;+,5.474,0.033,-0.125,ENST00000510021,ENCODE,No
EFTUD2,K562,chr5:134388441-134388498;+,5.474,0.033,-0.125,ENST00000511807,ENCODE,No
U2AF2,K562,chr5:134390427-134390465;+,5.459,0.999,3.586,ENST00000507277,ENCODE,No
U2AF2,K562,chr5:134390427-134390465;+,5.459,0.999,3.586,ENST00000265339,ENCODE,No
KHSRP,K562,chr5:134390362-134390399;+,5.454,0.944,2.504,ENST00000507277,ENCODE,No
KHSRP,K562,chr5:134390362-134390399;+,5.454,0.944,2.504,ENST00000265339,ENCODE,No
U2AF1,K562,chr5:134388532-134388593;+,5.377,0.007,-0.022,ENST00000265339,ENCODE,No
U2AF1,K562,chr5:134388532-134388593;+,5.377,0.007,-0.022,ENST00000499038,ENCODE,No
U2AF1,K562,chr5:134388532-134388593;+,5.377,0.007,-0.022,ENST00000503080,ENCODE,No
U2AF1,K562,chr5:134388532-134388593;+,5.377,0.007,-0.022,ENST00000506787,ENCODE,No
U2AF1,K562,chr5:134388532-134388593;+,5.377,0.007,-0.022,ENST00000507277,ENCODE,No
U2AF1,K562,chr5:134388532-134388593;+,5.377,0.007,-0.022,ENST00000510021,ENCODE,No
U2AF1,K562,chr5:134388532-134388593;+,5.377,0.007,-0.022,ENST00000511807,ENCODE,No
XPO5,HepG2,chr5:134376502-134376567;+,5.285,0.076,0.143,ENST00000265339,ENCODE,No
XPO5,HepG2,chr5:134376502-134376567;+,5.285,0.076,0.143,ENST00000506787,ENCODE,No
XPO5,HepG2,chr5:134376502-134376567;+,5.285,0.076,0.143,ENST00000507277,ENCODE,No
XPO5,HepG2,chr5:134376502-134376567;+,5.285,0.076,0.143,ENST00000510021,ENCODE,No
XPO5,HepG2,chr5:134376502-134376567;+,5.285,0.076,0.143,ENST00000511807,ENCODE,No
DDX6,K562,chr5:134374382-134374419;+,5.267,0.966,5.635,ENST00000265339,ENCODE,No
DDX6,K562,chr5:134374382-134374419;+,5.267,0.966,5.635,ENST00000506787,ENCODE,No
DDX6,K562,chr5:134374382-134374419;+,5.267,0.966,5.635,ENST00000507277,ENCODE,No
DDX6,K562,chr5:134374382-134374419;+,5.267,0.966,5.635,ENST00000510021,ENCODE,No
EFTUD2,HepG2,chr5:134380870-134380937;+,5.025,0.061,0.02,ENST00000265339,ENCODE,No
EFTUD2,HepG2,chr5:134380870-134380937;+,5.025,0.061,0.02,ENST00000506787,ENCODE,No
EFTUD2,HepG2,chr5:134380870-134380937;+,5.025,0.061,0.02,ENST00000507277,ENCODE,No
EFTUD2,HepG2,chr5:134380870-134380937;+,5.025,0.061,0.02,ENST00000510021,ENCODE,No
EFTUD2,HepG2,chr5:134380870-134380937;+,5.025,0.061,0.02,ENST00000511807,ENCODE,No
PUM2,K562,chr5:134390744-134390780;+,4.973,1,4.406,ENST00000265339,ENCODE,No
ILF3,K562,chr5:134381448-134381508;+,4.95,0.272,0.183,ENST00000265339,ENCODE,No
ILF3,K562,chr5:134381448-134381508;+,4.95,0.272,0.183,ENST00000506787,ENCODE,No
ILF3,K562,chr5:134381448-134381508;+,4.95,0.272,0.183,ENST00000507277,ENCODE,No
ILF3,K562,chr5:134381448-134381508;+,4.95,0.272,0.183,ENST00000510021,ENCODE,No
ILF3,K562,chr5:134381448-134381508;+,4.95,0.272,0.183,ENST00000511807,ENCODE,No
IGF2BP2,K562,chr5:134374458-134374463;+,4.873,1,8.061,ENST00000265339,ENCODE,No
IGF2BP2,K562,chr5:134374458-134374463;+,4.873,1,8.061,ENST00000506787,ENCODE,No
IGF2BP2,K562,chr5:134374458-134374463;+,4.873,1,8.061,ENST00000507277,ENCODE,No
IGF2BP2,K562,chr5:134374458-134374463;+,4.873,1,8.061,ENST00000510021,ENCODE,No
XPO5,HepG2,chr5:134376486-134376553;+,4.758,0.075,0.138,ENST00000265339,ENCODE,No
XPO5,HepG2,chr5:134376486-134376553;+,4.758,0.075,0.138,ENST00000506787,ENCODE,No
XPO5,HepG2,chr5:134376486-134376553;+,4.758,0.075,0.138,ENST00000507277,ENCODE,No
XPO5,HepG2,chr5:134376486-134376553;+,4.758,0.075,0.138,ENST00000510021,ENCODE,No
XPO5,HepG2,chr5:134376486-134376553;+,4.758,0.075,0.138,ENST00000511807,ENCODE,No
RBM22,HepG2,chr5:134388443-134388495;+,4.635,0.007,-0.172,ENST00000265339,ENCODE,No
RBM22,HepG2,chr5:134388443-134388495;+,4.635,0.007,-0.172,ENST00000499038,ENCODE,No
RBM22,HepG2,chr5:134388443-134388495;+,4.635,0.007,-0.172,ENST00000503080,ENCODE,No
RBM22,HepG2,chr5:134388443-134388495;+,4.635,0.007,-0.172,ENST00000506787,ENCODE,No
RBM22,HepG2,chr5:134388443-134388495;+,4.635,0.007,-0.172,ENST00000507277,ENCODE,No
RBM22,HepG2,chr5:134388443-134388495;+,4.635,0.007,-0.172,ENST00000510021,ENCODE,No
RBM22,HepG2,chr5:134388443-134388495;+,4.635,0.007,-0.172,ENST00000511807,ENCODE,No
HNRNPK,HepG2,chr5:134371661-134371796;+,4.605,0.198,0.27,ENST00000265339,ENCODE,No
HNRNPK,HepG2,chr5:134371661-134371796;+,4.605,0.198,0.27,ENST00000504431,ENCODE,No
HNRNPK,HepG2,chr5:134371661-134371796;+,4.605,0.198,0.27,ENST00000506787,ENCODE,No
HNRNPK,HepG2,chr5:134371661-134371796;+,4.605,0.198,0.27,ENST00000507277,ENCODE,No
HNRNPK,HepG2,chr5:134371661-134371796;+,4.605,0.198,0.27,ENST00000510021,ENCODE,No
HNRNPK,HepG2,chr5:134371661-134371796;+,4.605,0.198,0.27,ENST00000511807,ENCODE,No
TIA1,K562,chr5:134389276-134389332;+,4.542,0.261,0.211,ENST00000265339,ENCODE,No
TIA1,K562,chr5:134389276-134389332;+,4.542,0.261,0.211,ENST00000499038,ENCODE,No
TIA1,K562,chr5:134389276-134389332;+,4.542,0.261,0.211,ENST00000503080,ENCODE,No
TIA1,K562,chr5:134389276-134389332;+,4.542,0.261,0.211,ENST00000506787,ENCODE,No
TIA1,K562,chr5:134389276-134389332;+,4.542,0.261,0.211,ENST00000507277,ENCODE,No
TIA1,K562,chr5:134389276-134389332;+,4.542,0.261,0.211,ENST00000510021,ENCODE,No
TIA1,K562,chr5:134389276-134389332;+,4.542,0.261,0.211,ENST00000511807,ENCODE,No
GEMIN5,K562,chr5:134371463-134371501;+,4.527,0.36,0.881,ENST00000265339,ENCODE,No
UTP3,K562,chr5:134384182-134384226;+,4.344,0.022,0.033,ENST00000265339,ENCODE,No
UTP3,K562,chr5:134384182-134384226;+,4.344,0.022,0.033,ENST00000506787,ENCODE,No
UTP3,K562,chr5:134384182-134384226;+,4.344,0.022,0.033,ENST00000507277,ENCODE,No
UTP3,K562,chr5:134384182-134384226;+,4.344,0.022,0.033,ENST00000510021,ENCODE,No
UTP3,K562,chr5:134384182-134384226;+,4.344,0.022,0.033,ENST00000511807,ENCODE,No
DDX42,K562,chr5:134377608-134377661;+,4.285,0.096,0.207,ENST00000265339,ENCODE,No
DDX42,K562,chr5:134377608-134377661;+,4.285,0.096,0.207,ENST00000506787,ENCODE,No
DDX42,K562,chr5:134377608-134377661;+,4.285,0.096,0.207,ENST00000507277,ENCODE,No
DDX42,K562,chr5:134377608-134377661;+,4.285,0.096,0.207,ENST00000510021,ENCODE,No
DDX42,K562,chr5:134377608-134377661;+,4.285,0.096,0.207,ENST00000511807,ENCODE,No
EFTUD2,HepG2,chr5:134376611-134376642;+,4.137,0.116,0.312,ENST00000265339,ENCODE,No
EFTUD2,HepG2,chr5:134376611-134376642;+,4.137,0.116,0.312,ENST00000506787,ENCODE,No
EFTUD2,HepG2,chr5:134376611-134376642;+,4.137,0.116,0.312,ENST00000507277,ENCODE,No
EFTUD2,HepG2,chr5:134376611-134376642;+,4.137,0.116,0.312,ENST00000510021,ENCODE,No
EFTUD2,HepG2,chr5:134376611-134376642;+,4.137,0.116,0.312,ENST00000511807,ENCODE,No
ILF3,K562,chr5:134378443-134378511;+,4.104,0.049,0.069,ENST00000265339,ENCODE,No
ILF3,K562,chr5:134378443-134378511;+,4.104,0.049,0.069,ENST00000506787,ENCODE,No
ILF3,K562,chr5:134378443-134378511;+,4.104,0.049,0.069,ENST00000507277,ENCODE,No
ILF3,K562,chr5:134378443-134378511;+,4.104,0.049,0.069,ENST00000510021,ENCODE,No
ILF3,K562,chr5:134378443-134378511;+,4.104,0.049,0.069,ENST00000511807,ENCODE,No
AKAP1,HepG2,chr5:134390561-134390638;+,4.038,1,4.626,ENST00000265339,ENCODE,No
EFTUD2,K562,chr5:134388440-134388496;+,3.986,0.036,-0.078,ENST00000265339,ENCODE,No
EFTUD2,K562,chr5:134388440-134388496;+,3.986,0.036,-0.078,ENST00000499038,ENCODE,No
EFTUD2,K562,chr5:134388440-134388496;+,3.986,0.036,-0.078,ENST00000503080,ENCODE,No
EFTUD2,K562,chr5:134388440-134388496;+,3.986,0.036,-0.078,ENST00000506787,ENCODE,No
EFTUD2,K562,chr5:134388440-134388496;+,3.986,0.036,-0.078,ENST00000507277,ENCODE,No
EFTUD2,K562,chr5:134388440-134388496;+,3.986,0.036,-0.078,ENST00000510021,ENCODE,No
EFTUD2,K562,chr5:134388440-134388496;+,3.986,0.036,-0.078,ENST00000511807,ENCODE,No
DGCR8,adrenal gland,chr5:134378958-134378966;+,3.853,0.008,-0.049,ENST00000265339,ENCODE,No
DGCR8,adrenal gland,chr5:134378958-134378966;+,3.853,0.008,-0.049,ENST00000506787,ENCODE,No
DGCR8,adrenal gland,chr5:134378958-134378966;+,3.853,0.008,-0.049,ENST00000507277,ENCODE,No
DGCR8,adrenal gland,chr5:134378958-134378966;+,3.853,0.008,-0.049,ENST00000510021,ENCODE,No
DGCR8,adrenal gland,chr5:134378958-134378966;+,3.853,0.008,-0.049,ENST00000511807,ENCODE,No
DGCR8,adrenal gland,chr5:134378966-134378992;+,3.853,0.066,0.364,ENST00000265339,ENCODE,No
DGCR8,adrenal gland,chr5:134378966-134378992;+,3.853,0.066,0.364,ENST00000506787,ENCODE,No
DGCR8,adrenal gland,chr5:134378966-134378992;+,3.853,0.066,0.364,ENST00000507277,ENCODE,No
DGCR8,adrenal gland,chr5:134378966-134378992;+,3.853,0.066,0.364,ENST00000510021,ENCODE,No
DGCR8,adrenal gland,chr5:134378966-134378992;+,3.853,0.066,0.364,ENST00000511807,ENCODE,No
TIA1,HepG2,chr5:134390583-134390643;+,3.834,1,4.345,ENST00000265339,ENCODE,No
DROSHA,K562,chr5:134371729-134371754;+,3.675,0.41,0.591,ENST00000265339,ENCODE,No
